移动组播,#genre# 
CCTV-2财经,http://39.134.2.22:6610/000000001666/100000000100111001/1.m3u8?channel-id=ystenlive&Contentid=100000000100111001&livemode=1
CCTV-3,http://192.168.101.1:8888/udp/239.253.112.19:9000
CCTV-超级综艺,http://39.134.2.22:6610/000000001666/100000000100111002/1.m3u8?channel-id=ystenlive&Contentid=100000000100111002&livemode=1
CCTV-4国际,http://39.134.2.22:6610/000000001666/100000000100111003/1.m3u8?channel-id=ystenlive&Contentid=100000000100111003&livemode=1
CCTV-5,http://192.168.101.1:8888/udp/239.253.112.21:9000
CCTV-超级体育,http://39.134.2.22:6610/000000001666/100000000100111004/1.m3u8?channel-id=ystenlive&Contentid=100000000100111004&livemode=1
CCTV5+体育,http://39.134.2.22:6610/000000001666/100000000100111005/1.m3u8?channel-id=ystenlive&Contentid=100000000100111005&livemode=1
CCTV-6,http://192.168.101.1:8888/udp/239.253.112.22:9000
CCTV-超级电影,http://39.134.2.22:6610/000000001666/100000000100111006/1.m3u8?channel-id=ystenlive&Contentid=100000000100111006&livemode=1
CCTV-7军事农业,http://39.134.2.22:6610/000000001666/100000000100111007/1.m3u8?channel-id=ystenlive&Contentid=100000000100111007&livemode=1
CCTV-超级电视剧,http://39.134.2.22:6610/000000001666/100000000100111008/1.m3u8?channel-id=ystenlive&Contentid=100000000100111008&livemode=1
CCTV-8电视剧,http://192.168.101.1:8888/udp/239.253.112.24:9000
CCTV-9纪录,http://39.134.2.22:6610/000000001666/100000000100111009/1.m3u8?channel-id=ystenlive&Contentid=100000000100111009&livemode=1
CCTV-10科教,http://39.134.2.22:6610/000000001666/100000000100111010/1.m3u8?channel-id=ystenlive&Contentid=100000000100111010&livemode=1
CCTV-11戏曲,http://39.134.2.22:6610/000000001666/100000000100111011/1.m3u8?channel-id=ystenlive&Contentid=100000000100111011&livemode=1
CCTV-12社会与法,http://39.134.2.22:6610/000000001666/100000000100111012/1.m3u8?channel-id=ystenlive&Contentid=100000000100111012&livemode=1
CCTV-13新闻,http://39.134.2.22:6610/000000001666/100000000100111013/1.m3u8?channel-id=ystenlive&Contentid=100000000100111013&livemode=1
CCTV-14,http://39.134.2.22:6610/000000001666/100000000100111014/1.m3u8?channel-id=ystenlive&Contentid=100000000100111014&livemode=1
CCTV-15音乐,http://39.134.2.22:6610/000000001666/100000000100111015/1.m3u8?channel-id=ystenlive&Contentid=100000000100111015&livemode=1
CCTV-奥林匹克,http://39.134.2.22:6610/000000001666/100000000100111092/1.m3u8?IASHttpSessionId=OTT
CCTV-17农村农业,http://39.134.2.22:6610/000000001666/100000000100111016/1.m3u8?channel-id=ystenlive&Contentid=100000000100111016&livemode=1
精品纪录,http://39.134.3.73:6610/000000001666/100000000100111070/1.m3u8?IASHttpSessionId=OTT
爱科学,http://39.134.3.73:6610/000000001666/100000000100111207/1.m3u8?IASHttpSessionId=OTT
爱奇迹,http://39.134.3.73:6610/000000001666/100000000100111201/1.m3u8?IASHttpSessionId=OTT
冬奥纪实,http://39.134.2.22:6610/000000001666/100000000100111076/1.m3u8?channel-id=ystenlive&Contentid=100000000100111076&livemode=1
金鹰纪实,http://39.134.2.22:6610/000000001666/100000000100111078/1.m3u8?channel-id=ystenlive&Contentid=100000000100111078&livemode=1
纪实人文,http://39.134.2.22:6610/000000001666/100000000100111080/1.m3u8?channel-id=ystenlive&Contentid=100000000100111080&livemode=1
求索动物 8M1080,http://39.134.66.66/PLTV/88888888/224/3221225730/index.m3u8
求索生活 8M1080,http://39.134.66.66/PLTV/88888888/224/3221225715/index.m3u8
求索科学 8M1080,http://39.134.66.66/PLTV/88888888/224/3221225728/index.m3u8
求索纪录 8M1080,http://39.134.66.66/PLTV/88888888/224/3221225713/index.m3u8
咪咕4K,http://39.134.2.22:6610/000000001666/100000000100111083/1.m3u8?channel-id=ystenlive&Contentid=100000000100111083&livemode=1
咪咕体育1,http://39.134.2.22:6610/000000001666/100000000100111093/1.m3u8?channel-id=ystenlive&Contentid=100000000100111093&livemode=1
咪咕体育2,http://39.134.2.22:6610/000000001666/100000000100111094/1.m3u8?channel-id=ystenlive&Contentid=100000000100111094&livemode=1
精品体育,http://39.134.2.22:6610/000000001666/100000000100111074/1.m3u8?channel-id=ystenlive&Contentid=100000000100111074&livemode=1
重庆卫视,http://39.134.2.22:6610/000000001666/100000000100111017/1.m3u8?channel-id=ystenlive&Contentid=100000000100111017&livemode=1
北京卫视,http://39.134.2.22:6610/000000001666/100000000100111018/1.m3u8?channel-id=ystenlive&Contentid=100000000100111018&livemode=1
深圳卫视,http://39.134.2.22:6610/000000001666/100000000100111022/1.m3u8?channel-id=ystenlive&Contentid=100000000100111022&livemode=1
东南卫视,http://39.134.2.22:6610/000000001666/100000000100111028/1.m3u8?channel-id=ystenlive&Contentid=100000000100111028&livemode=1
四川卫视,http://39.134.2.22:6610/000000001666/100000000100111029/1.m3u8?channel-id=ystenlive&Contentid=100000000100111029&livemode=1
贵州卫视,http://39.134.2.22:6610/000000001666/100000000100111034/1.m3u8?channel-id=ystenlive&Contentid=100000000100111034&livemode=1
广东卫视,http://39.134.2.22:6610/000000001666/100000000100111019/1.m3u8?channel-id=ystenlive&Contentid=100000000100111019&livemode=1
浙江卫视,http://39.134.2.22:6610/000000001666/100000000100111020/1.m3u8?channel-id=ystenlive&Contentid=100000000100111020&livemode=1
江苏卫视,http://39.134.2.22:6610/000000001666/100000000100111021/1.m3u8?channel-id=ystenlive&Contentid=100000000100111021&livemode=1
湖南卫视,http://39.134.2.22:6610/000000001666/100000000100111023/1.m3u8?channel-id=ystenlive&Contentid=100000000100111023&livemode=1
东方卫视,http://39.134.2.22:6610/000000001666/100000000100111024/1.m3u8?channel-id=ystenlive&Contentid=100000000100111024&livemode=1
天津卫视,http://39.134.2.22:6610/000000001666/100000000100111025/1.m3u8?channel-id=ystenlive&Contentid=100000000100111025&livemode=1
江西卫视,http://39.134.2.22:6610/000000001666/100000000100111026/1.m3u8?channel-id=ystenlive&Contentid=100000000100111026&livemode=1
辽宁卫视,http://39.134.2.22:6610/000000001666/100000000100111027/1.m3u8?channel-id=ystenlive&Contentid=100000000100111027&livemode=1
湖北卫视,http://39.134.2.22:6610/000000001666/100000000100111035/1.m3u8?channel-id=ystenlive&Contentid=100000000100111035&livemode=1
青海卫视,http://39.134.2.22:6610/000000001666/100000000100111036/1.m3u8?channel-id=ystenlive&Contentid=100000000100111036&livemode=1
山东卫视,http://39.134.2.22:6610/000000001666/100000000100111037/1.m3u8?channel-id=ystenlive&Contentid=100000000100111037&livemode=1
安徽卫视,http://39.134.2.22:6610/000000001666/100000000100111038/1.m3u8?channel-id=ystenlive&Contentid=100000000100111038&livemode=1
宁夏卫视,http://39.134.2.22:6610/000000001666/100000000100111039/1.m3u8?channel-id=ystenlive&Contentid=100000000100111039&livemode=1
